permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,street_number,street_name,street_suffix,description,status,status_date,filed_date,issued_date,number_of_existing_stories,number_of_proposed_stories,estimated_cost,revised_cost,existing_use,existing_units,proposed_use,proposed_units,plansets,existing_occupancy,proposed_occupancy,existing_construction_type,existing_construction_type_description,proposed_construction_type,proposed_construction_type_description,supervisor_district,last_permit_activity_date,neighborhoods_analysis_boundaries,zipcode,application_submission_method,location/type,location/coordinates/0,location/coordinates/1,adu,record_id,primary_address_flag,point_source,data_as_of,data_loaded_at,unit,fire_only_permit,structural_notification,unit_suffix,street_number_suffix,completed_date,site_permit
202309065990,8,otc alterations permit,2023-09-06T00:00:00.000,1029,016,2872,Pine,St,shoring work for foundation,filed,2023-09-06T11:48:21.000,2023-09-06T11:48:21.000,,3,3,35000,0,1 family dwelling,1,1 family dwelling,1,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2,2023-09-06T11:50:43.000,Pacific Heights,94115,in-house,Point,-122.443170391,37.787027356,N,167763587592,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309066019,8,otc alterations permit,2023-09-06T00:00:00.000,0334,022,565,Ellis,St,"comply w/ nov 202311501: partition wall, bath remodel in kind.",filed,2023-09-06T15:08:48.000,2023-09-06T15:08:48.000,,4,4,1000,0,apartments,16,apartments,16,0,R-2,R-2,5,wood frame (5),5,wood frame (5),5,2023-09-06T15:14:51.000,Tenderloin,94109,in-house,Point,-122.415672375,37.784282476,N,1677669234007,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309065959,8,otc alterations permit,2023-09-06T00:00:00.000,8706,268,207,King,St,as-built permit for voluntary fire alarm panel upgrade. functional matrix corrected to match existing sequence. no ref permit app # 202202107697,filed,2023-09-06T09:50:49.000,2023-09-06T09:50:49.000,,8,8,1,0,office,39,office,39,2,"R-2,B,M,A-3","R-2,B,M,A-3",1,constr type 1,1,constr type 1,6,2023-09-06T10:58:33.000,Mission Bay,94107,in-house,Point,-122.391685572,37.777527509,N,1677599449884,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
202309065960,8,otc alterations permit,2023-09-06T00:00:00.000,0558,017,2368,Vallejo,St,reroofing,filed,2023-09-06T09:52:58.000,2023-09-06T09:52:58.000,,3,3,23338,0,2 family dwelling,2,2 family dwelling,2,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2,2023-09-06T11:42:49.000,Marina,94123,in-house,Point,-122.436365982,37.795352347,N,167760274313,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309065967,8,otc alterations permit,2023-09-06T00:00:00.000,0514,026,2355,Greenwich,St,reroofing,issued,2023-09-06T12:07:24.000,2023-09-06T10:14:11.000,2023-09-06T12:07:24.000,2,2,15850,15800,1 family dwelling,1,1 family dwelling,1,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2,2023-09-06T12:02:57.000,Marina,94123,in-house,Point,-122.43838701,37.798351654,N,1677611234783,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309066010,8,otc alterations permit,2023-09-06T00:00:00.000,0341,006,944,Market,St,as built to pa# 202109087471. replace existing annuciator w/new led graphic at the same location at the main entrance. tie in to existing control panel. no change in matrix and device location or count.,issued,2023-09-06T15:26:09.000,2023-09-06T14:07:58.000,2023-09-06T15:26:09.000,8,8,2000,2666,office,0,office,0,2,B,B,5,wood frame (5),5,wood frame (5),3,2023-09-06T15:18:22.000,Tenderloin,94102,in-house,Point,-122.408964079,37.783709965,N,1677660374504,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
202309066000,3,additions alterations or repairs,2023-09-06T00:00:00.000,2126,016,1912,09th,Av,"removal of(e)flat roof over 2-story bldg envelope @ rear, select interior walls(e) single glazed windoes & doors @conditioned space.replace in-kind flat roof in rear yard setback (no increase in bldg envelope) & (n) shed and flat roof over",filed,2023-09-06T12:46:10.000,2023-09-06T12:46:10.000,,3,3,300000,,1 family dwelling,1,1 family dwelling,1,2,R-3,R-3,5,wood frame (5),5,wood frame (5),7,2023-09-07T09:11:49.000,Inner Sunset,94116,in-house,Point,-122.465225765,37.752519716,N,1677646126859,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,Y
202309065970,8,otc alterations permit,2023-09-06T00:00:00.000,3577,084,551,Guerrero,St,reroofing,issued,2023-09-07T10:37:10.000,2023-09-06T10:23:02.000,2023-09-07T10:37:10.000,3,3,12000,12000,2 family dwelling,2,2 family dwelling,2,0,R-3,R-3,5,wood frame (5),5,wood frame (5),9,2023-09-07T10:27:10.000,Mission,94110,in-house,Point,-122.423561404,37.762379143,N,1677615457946,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309065992,8,otc alterations permit,2023-09-06T00:00:00.000,1570,018B,614,28th,Av,install a roof hatch & access from the sunroom on the 3rd fl for solar panel maintenance,filed,2023-09-06T12:02:48.000,2023-09-06T12:02:48.000,,2,2,3000,3000,1 family dwelling,1,1 family dwelling,1,2,R-3,R-3,5,wood frame (5),5,wood frame (5),1,2023-09-06T14:31:26.000,Outer Richmond,94121,in-house,Point,-122.487529713,37.777679533,N,1677638104960,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309065968,8,otc alterations permit,2023-09-06T00:00:00.000,2968A,004,70,El Sereno,Ct,reroofing,issued,2023-09-06T12:07:40.000,2023-09-06T10:17:39.000,2023-09-06T12:07:40.000,2,2,24000,24000,1 family dwelling,1,1 family dwelling,1,0,R-3,R-3,5,wood frame (5),5,wood frame (5),7,2023-09-06T11:59:32.000,West of Twin Peaks,94127,in-house,Point,-122.445548587,37.739053548,N,1677612148321,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309066013,8,otc alterations permit,2023-09-06T00:00:00.000,0177,002,919,Kearny,St,"install 2 new awning with yellow fabric cover in front of restaurant on kearny st. each awning is 174""x48""x48""",issued,2023-09-07T15:27:18.000,2023-09-06T14:20:55.000,2023-09-07T15:27:18.000,4,4,4000,5500,food/beverage hndlng,42,food/beverage hndlng,42,2,"M,R-1,B","M,R-1,B",3,constr type 3,3,constr type 3,3,2023-09-07T15:22:07.000,Chinatown,94133,in-house,Point,-122.40538391,37.796438797,N,1677663367254,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309065971,8,otc alterations permit,2023-09-06T00:00:00.000,3271,017,134,Westgate,Dr,reroofing,issued,2023-09-07T10:36:57.000,2023-09-06T10:33:11.000,2023-09-07T10:36:57.000,2,2,11000,11000,1 family dwelling,1,1 family dwelling,1,0,R-3,R-3,5,wood frame (5),5,wood frame (5),7,2023-09-07T10:33:00.000,West of Twin Peaks,94127,in-house,Point,-122.46485969,37.728952704,N,1677616155570,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309065980,8,otc alterations permit,2023-09-06T00:00:00.000,6944,030,246,Brighton,Av,repair dry rot deck less than 50% and replace siding 200 sq,issued,2023-09-06T11:20:01.000,2023-09-06T10:58:40.000,2023-09-06T11:20:01.000,2,2,12000,12000,1 family dwelling,1,1 family dwelling,1,0,R-3,R-3,5,wood frame (5),5,wood frame (5),11,2023-09-06T11:15:44.000,Oceanview/Merced/Ingleside,94112,in-house,Point,-122.454813541,37.722721018,N,1677626214909,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309065979,8,otc alterations permit,2023-09-06T00:00:00.000,7116,048,352,Head,St,new 13-d combo fire sprinkler system. ref ti 202101192885. no under ground work. (ug under sep permit),filed,2023-09-06T10:55:51.000,2023-09-06T10:55:51.000,,,3,5000,0,,,2 family dwelling,2,2,,R-3,,,5,wood frame (5),11,2023-09-07T11:20:34.000,Oceanview/Merced/Ingleside,94132,in-house,Point,-122.464115134,37.713454263,N,1677624517986,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
202309065966,8,otc alterations permit,2023-09-06T00:00:00.000,6591,010,414,Duncan,St,upgrade (e) fire alarm system to comply with sffc section 1103.7.6.1,issued,2023-09-07T10:59:02.000,2023-09-06T10:12:00.000,2023-09-07T10:59:02.000,3,3,23200,32885,apartments,6,apartments,6,2,R-2,R-2,5,wood frame (5),5,wood frame (5),8,2023-09-07T10:56:36.000,Noe Valley,94131,in-house,Point,-122.429620389,37.746179761,N,1677610416564,,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,0,Y,,,,,
202309066029,8,otc alterations permit,2023-09-06T00:00:00.000,1813,041,1422,41st,Av,re-roofing.,issued,2023-09-07T10:53:08.000,2023-09-06T15:48:20.000,2023-09-07T10:53:08.000,2,2,3000,10000,1 family dwelling,1,1 family dwelling,1,0,R-3,R-3,5,wood frame (5),5,wood frame (5),4,2023-09-07T10:45:15.000,Sunset/Parkside,94122,in-house,Point,-122.500205059,37.760190213,N,1677679115446,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309065962,8,otc alterations permit,2023-09-06T00:00:00.000,2648,027,63,Diamond,St,mandatory fire system replacement & mandatory lf horns installation upgrade to meet sffc 2022 sec 1103.7.6.1 fire alarm only,filed,2023-09-06T09:53:34.000,2023-09-06T09:53:34.000,,3,3,20800,0,apartments,6,apartments,6,2,R-2,R-2,5,wood frame (5),5,wood frame (5),8,2023-09-06T11:17:30.000,Castro/Upper Market,94114,in-house,Point,-122.436922066,37.761373703,N,1677603422485,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,0,Y,,,,,
202309065961,8,otc alterations permit,2023-09-06T00:00:00.000,0132,001B,44,San Antonio,Pl,"remodel kitchen and bathroom. rewire unit, new subpanel, remove and replace seiling drywall. add insulation, plumbing fixture replacement, no change of in wall plumbing.",issued,2023-09-06T10:55:18.000,2023-09-06T09:53:10.000,2023-09-06T10:55:18.000,2,2,30000,64000,2 family dwelling,2,2 family dwelling,2,0,R-3,R-3,5,wood frame (5),5,wood frame (5),3,2023-09-06T10:49:10.000,North Beach,94133,in-house,Point,-122.40619847,37.799498146,N,167760460204,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309065984,8,otc alterations permit,2023-09-06T00:00:00.000,1202,002A,1290,Hayes,St,"as built to permit 202210315505. removed 1 smoke detector, riser diagram and equipment list.",issued,2023-09-07T10:47:34.000,2023-09-06T11:13:15.000,2023-09-07T10:47:34.000,3,3,1,1,apartments,11,apartments,11,2,"R-2,M","R-2,M",5,wood frame (5),5,wood frame (5),5,2023-09-07T10:44:42.000,Hayes Valley,94117,in-house,Point,-122.437516771,37.775176539,N,16776291404,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
202309066005,8,otc alterations permit,2023-09-06T00:00:00.000,0039,102,2017,Grant,Av,re-roofing.,issued,2023-09-06T15:32:00.000,2023-09-06T13:20:29.000,2023-09-06T15:32:00.000,4,4,47750,47750,apartments,4,apartments,4,0,R-2,R-2,5,wood frame (5),5,wood frame (5),3,2023-09-06T15:18:27.000,North Beach,94133,in-house,Point,-122.40881311,37.805580722,N,1677654253918,,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,2,,,,,,
202309065982,8,otc alterations permit,2023-09-06T00:00:00.000,3754,017,1098,Harrison,St,voluntary fa: add 2 addressable monitor modules to monitor existing conventional duct detectors.,issued,2023-09-06T12:25:25.000,2023-09-06T11:06:26.000,2023-09-06T12:25:25.000,2,2,1200,1200,office,0,office,0,2,"B,A-2","B,A-2",3,constr type 3,3,constr type 3,6,2023-09-06T12:22:48.000,South of Market,94103,in-house,Point,-122.406082632,37.776040669,N,1677627378219,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
202309066008,8,otc alterations permit,2023-09-06T00:00:00.000,6916,013,81,Alviso,St,"demo (e) interior  plaster, add insulation. rewiring, replace plaster with 5/8"" type'x'sheetrock. taping and paint. kitchen remodeling, bathroom remodeling, paint outside. fence around the property. all new drywall to be 5/8"" type x.",issued,2023-09-07T15:22:46.000,2023-09-06T13:33:07.000,2023-09-07T15:22:46.000,2,2,75000,96000,1 family dwelling,1,1 family dwelling,1,0,R-3,R-3,5,wood frame (5),5,wood frame (5),7,2023-09-07T15:11:23.000,West of Twin Peaks,94127,in-house,Point,-122.469230653,37.723354284,N,1677658214036,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309066006,8,otc alterations permit,2023-09-06T00:00:00.000,3613,017A,2952,22nd,St,revision to 202309055931. add a toilet to the exiting main bath and a sink to the powder room,filed,2023-09-06T13:21:57.000,2023-09-06T13:21:57.000,,3,3,1,1,2 family dwelling,2,2 family dwelling,2,2,R-3,R-3,5,wood frame (5),5,wood frame (5),9,2023-09-07T13:50:36.000,Mission,94110,in-house,Point,-122.413449447,37.755939859,N,1677653472973,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309065978,8,otc alterations permit,2023-09-06T00:00:00.000,5893,037,4285,Mission,St,to comply with abe ord 51-16 program. abe #202206171505. remove & replace accessible parking space & aisle per code; remove & replace sidewalk (on property only) from mission st sidewalk to front entrance per code,filed,2023-09-06T10:52:54.000,2023-09-06T10:52:54.000,,1,1,60000,60000,food/beverage hndlng,0,food/beverage hndlng,0,2,A-2,A-2,5,wood frame (5),5,wood frame (5),11,2023-09-07T12:04:11.000,Excelsior,94112,in-house,Point,-122.430627225,37.728820171,N,1677623395857,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,0,,,,,,
202309066026,8,otc alterations permit,2023-09-06T00:00:00.000,3538,135,59,Walter,St,remodel kitchen.,filed,2023-09-06T15:31:24.000,2023-09-06T15:31:24.000,,4,4,25000,38000,apartments,3,apartments,3,2,R-2,R-2,5,wood frame (5),5,wood frame (5),8,2023-09-07T15:46:30.000,Castro/Upper Market,94114,in-house,Point,-122.43204899,37.768265439,N,1677676467498,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,0,,,,,,
202309065991,8,otc alterations permit,2023-09-06T00:00:00.000,0204,021,300,Clay,St,13th fl - revision to pa 2021-0604-1685. replace fsd 13-06 and fsd-13-07 wirth fire dampers,filed,2023-09-06T11:53:56.000,2023-09-06T11:53:56.000,,25,25,1,0,office,0,office,0,2,"B,S-2,M","B,S-2,M",1,constr type 1,1,constr type 1,3,2023-09-06T14:28:53.000,Financial District/South Beach,94111,in-house,Point,-122.399226775,37.795606965,N,1677636296183,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,0,,,,,,
202309066005,8,otc alterations permit,2023-09-06T00:00:00.000,0039,101,2017,Grant,Av,re-roofing.,issued,2023-09-06T15:32:00.000,2023-09-06T13:20:29.000,2023-09-06T15:32:00.000,4,4,47750,47750,apartments,4,apartments,4,0,R-2,R-2,5,wood frame (5),5,wood frame (5),3,2023-09-06T15:18:27.000,North Beach,94133,in-house,Point,-122.40881311,37.805580722,N,1677652253916,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,1,,,,,,
202309065999,8,otc alterations permit,2023-09-06T00:00:00.000,5635,006,440,Holladay,Av,to comply with complaint # 201631472. replace vinyl windows with wood.,issued,2023-09-07T12:40:41.000,2023-09-06T12:45:25.000,2023-09-07T12:40:41.000,3,3,15000,15000,2 family dwelling,2,2 family dwelling,2,0,R-3,R-3,5,wood frame (5),5,wood frame (5),9,2023-09-07T12:37:22.000,Bernal Heights,94110,in-house,Point,-122.407603015,37.742638657,N,1677645185363,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309055951,8,otc alterations permit,2023-09-05T21:29:38.000,3600,019,3964,20th,St,re-roofing: remove and replace roofing material / existing roofing material (in-kind),issued,2023-09-05T21:31:25.000,2023-09-05T21:29:38.000,2023-09-05T21:31:25.000,,,28815,28815,2 family dwelling,,2 family dwelling,,0,R-3,R-3,,,,,8,2023-09-05T21:29:39.000,Castro/Upper Market,94114,website,Point,-122.429483786,37.75824718,N,1677591161051,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309055937,8,otc alterations permit,2023-09-05T14:23:07.000,3006,021,49,Coventry,Ct,re-roofing: remove and replace roofing material / existing roofing material (in-kind),issued,2023-09-05T14:24:15.000,2023-09-05T14:23:07.000,2023-09-05T14:24:15.000,,,11333,11333,2 family dwelling,,2 family dwelling,,0,R-3,R-3,,,,,7,2023-09-05T14:23:08.000,West of Twin Peaks,94127,website,Point,-122.452768799,37.736188192,N,1677576149941,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309055934,8,otc alterations permit,2023-09-05T14:11:00.000,1410,041,6139,California,St,re-roofing: remove and replace roofing material / existing roofing material (in-kind),issued,2023-09-05T14:14:11.000,2023-09-05T14:11:00.000,2023-09-05T14:14:11.000,,,8666,8666,2 family dwelling,,2 family dwelling,,0,R-3,R-3,,,,,1,2023-09-05T14:11:00.000,Outer Richmond,94121,website,Point,-122.483562376,37.783735902,N,167757398578,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309055916,8,otc alterations permit,2023-09-05T12:58:51.000,1665,036,762,23rd,Av,re-roofing: remove and replace roofing material / existing roofing material (in-kind),issued,2023-09-05T12:59:41.000,2023-09-05T12:58:51.000,2023-09-05T12:59:41.000,,,15435,15435,2 family dwelling,,2 family dwelling,,0,R-3,R-3,,,,,1,2023-09-05T12:58:52.000,Outer Richmond,94121,website,Point,-122.481767371,37.7733775,N,1677552109202,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309055870,8,otc alterations permit,2023-09-05T08:19:36.000,0343,031,1,Taylor,St,"demo & replacement of topping sidewalk, partial demo of basement roof slab & reconstruction w/traffic signal foundation concrete below",filed,2023-09-05T08:19:37.000,2023-09-05T08:19:37.000,,7,7,20000,20000,theater,0,theater,0,2,"A-1,B","A-1,B",1,constr type 1,1,constr type 1,5,2023-09-05T14:24:54.000,Tenderloin,94102,in-house,Point,-122.411079923,37.782505156,N,1677502499044,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309055867,8,otc alterations permit,2023-09-05T00:00:00.000,0351,022,1182,Market,St,concrete topping sidewalk replacement & removal of (e) traffic signal pole,filed,2023-09-05T08:05:45.000,2023-09-05T08:05:45.000,,4,4,20000,20000,theater,0,theater,0,2,"A-1,B","A-1,B",1,constr type 1,1,constr type 1,5,2023-09-05T14:11:39.000,Tenderloin,94102,in-house,Point,-122.41465333,37.779332103,N,167749870099,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309055894,8,otc alterations permit,2023-09-05T00:00:00.000,4074,013A,780,Kansas,St,"revision to pa 201802211876. 3rd, 4th fl and roof deck to include reconfiguration of: 3rd fl plan with removal of lightwell. 4th fl plan w(n) exterior stair up to roof deck. roof deck with (n) exterior stair.",filed,2023-09-05T11:05:37.000,2023-09-05T11:05:37.000,,3,4,1,0,2 family dwelling,2,2 family dwelling,2,2,R-3,R-3,5,wood frame (5),5,wood frame (5),10,2023-09-06T13:33:58.000,Potrero Hill,94107,in-house,Point,-122.403354495,37.759858568,N,1677528169701,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,Y,,,,
202309055915,8,otc alterations permit,2023-09-05T00:00:00.000,6413,031,1166,Geneva,Av,adding floor drain. upgrading electrical panel.,filed,2023-09-05T12:58:14.000,2023-09-05T12:58:14.000,,2,2,100000,100000,food/beverage hndlng,1,food/beverage hndlng,1,2,"R-3,B","R-3,B",5,wood frame (5),5,wood frame (5),11,2023-09-05T15:06:49.000,Excelsior,94112,in-house,Point,-122.437000678,37.714264744,N,1677553447940,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309055895,8,otc alterations permit,2023-09-05T00:00:00.000,1136,001,701,Anza,St,"in kind kitchen remodel within existing walls and floor plan. replacing (e) cabinets and countertops, moving refrigerator, adding three cabinets. (e) doorways to remain as is, original sizes.",issued,2023-09-07T09:21:20.000,2023-09-05T11:09:09.000,2023-09-07T09:21:20.000,3,3,43500,43500,2 family dwelling,2,2 family dwelling,2,0,R-3,R-3,5,wood frame (5),5,wood frame (5),1,2023-09-07T09:12:58.000,Lone Mountain/USF,94118,in-house,Point,-122.454049459,37.78001944,N,167752990245,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309055924,8,otc alterations permit,2023-09-05T00:00:00.000,2784,039,32,Farview,Ct,"revision to pa# 202303173910. additional work. to remove stucco on west, east & front above garage. r&r stucco. installation & insulation. plywood & drywall. replace stucco above 2 patio doors up on back deck.  replace front elevation wood part only wood for wood 9 1/2"" shiplap siding.",suspend,2023-09-05T14:29:35.000,2023-09-05T13:21:20.000,2023-09-05T14:29:35.000,2,2,42870,42870,1 family dwelling,1,1 family dwelling,1,0,R-3,R-3,5,wood frame (5),5,wood frame (5),7,2023-09-05T14:11:33.000,Twin Peaks,94131,in-house,Point,-122.450315489,37.755145705,N,1677563144132,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309055914,8,otc alterations permit,2023-09-05T00:00:00.000,0333,014,346,Leavenworth,St,"#202: bathroom remodel. drain line repair including tub and shower, mixing valve in relation to nov #202303945 item #2.work at tile and shower surround only.",issued,2023-09-05T13:21:38.000,2023-09-05T12:55:00.000,2023-09-05T13:21:38.000,5,5,5000,5000,apartments,25,apartments,25,0,R-2,R-2,3,constr type 3,3,constr type 3,5,2023-09-05T13:16:41.000,Tenderloin,94102,in-house,Point,-122.414099654,37.784355856,N,1677551400371,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,0,,,,,,
202309055864,8,otc alterations permit,2023-09-05T00:00:00.000,3283,069,65,Dorado,Tr,"remodel master bath, replace cabinet. relocate electrical subpanel, new shower pan & plumbing. fixture for master bath. replace carpet with hardwood, paint interior, replace existing can lights for led. no walls moved or removed. keep same layout.",issued,2023-09-05T08:18:16.000,2023-09-05T07:49:45.000,2023-09-05T08:18:16.000,3,3,40000,75600,2 family dwelling,2,2 family dwelling,2,0,R-3,R-3,5,wood frame (5),5,wood frame (5),7,2023-09-05T08:05:58.000,West of Twin Peaks,94112,in-house,Point,-122.460950312,37.726668649,N,1677495155989,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309055902,8,otc alterations permit,2023-09-05T00:00:00.000,1228,011,1959,Page,St,install new fire sprinkler in remodeled multi-story residence. 84 heads total.,filed,2023-09-05T11:45:55.000,2023-09-05T11:45:55.000,,4,4,23000,0,apartments,3,apartments,3,2,R-2,R-2,5,wood frame (5),5,wood frame (5),5,2023-09-05T13:34:02.000,Haight Ashbury,94117,in-house,Point,-122.452930412,37.769914141,N,1677539267428,,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
202309055897,8,otc alterations permit,2023-09-05T00:00:00.000,6577,054,134,27th,St,reroofing,issued,2023-09-05T11:53:37.000,2023-09-05T11:12:55.000,2023-09-05T11:53:37.000,2,2,25800,25800,2 family dwelling,2,2 family dwelling,2,0,R-3,R-3,5,wood frame (5),5,wood frame (5),8,2023-09-05T11:48:10.000,Noe Valley,94110,in-house,Point,-122.423315218,37.747363673,N,1677531446782,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,0,,,,,,
202309055923,8,otc alterations permit,2023-09-05T00:00:00.000,0311,008,88,Kearny,St,revision to application #202210245023: d.a. checklist update.,filed,2023-09-05T13:18:40.000,2023-09-05T13:18:40.000,,21,21,1,0,office,,office,,2,B,B,1,constr type 1,1,constr type 1,3,2023-09-05T14:31:06.000,Financial District/South Beach,94104,in-house,Point,-122.403329435,37.788601467,N,1677562495355,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309055941,8,otc alterations permit,2023-09-05T00:00:00.000,0832,009A,255,Hickory,St,reroofing,issued,2023-09-05T15:50:51.000,2023-09-05T14:48:47.000,2023-09-05T15:50:51.000,3,3,22900,22900,apartments,6,apartments,6,0,R-2,R-2,5,wood frame (5),5,wood frame (5),5,2023-09-05T15:46:21.000,Hayes Valley,94102,in-house,Point,-122.4235872,37.775240614,N,1677581237519,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309055874,8,otc alterations permit,2023-09-05T00:00:00.000,3739,014,200,Folsom,St,trenching for archaeological exploration.,filed,2023-09-05T08:49:06.000,2023-09-05T08:49:06.000,,,,12600,0,vacant lot,,vacant lot,,2,,,,,,,6,2023-09-06T10:54:59.000,Financial District/South Beach,94105,in-house,Point,-122.392575669,37.789262201,N,1677505520425,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309055928,8,otc alterations permit,2023-09-05T00:00:00.000,0193,034,27,Saint Louis,Al,"replace exiting fire alarm system to comply with sffc 1103.7.6.1. replace facp with new facu, replace s/d, replace bells with horn strobes. install new aes radio comms, power supply, pull stations, monitor modules and lf sounders.",issued,2023-09-06T11:49:07.000,2023-09-05T13:50:52.000,2023-09-06T11:49:07.000,3,3,10000,36490,apartments,12,apartments,12,2,"R-2,B,M","R-2,B,M",5,wood frame (5),5,wood frame (5),3,2023-09-06T11:47:33.000,Chinatown,94108,in-house,Point,-122.407095928,37.795708669,N,1677567232727,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
202309055908,8,otc alterations permit,2023-09-05T00:00:00.000,0971,003,3410,Jackson,St,"2nd/f: (n) cabinetry & fixtures at kitchem, pantry & bar. 3rd/f: primary bath, primary bedroom & (n) minisplits @ 4th/f. new gate at 1st entry to replace (e), repaint exterior facade, replace window at primary bath. no work affect public row",filed,2023-09-05T12:23:10.000,2023-09-05T12:23:10.000,,4,4,200000,200000,1 family dwelling,1,1 family dwelling,1,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2,2023-09-05T14:42:34.000,Presidio Heights,94118,in-house,Point,-122.451190832,37.790626482,N,167754485571,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309055884,8,otc alterations permit,2023-09-05T00:00:00.000,0078,077,383,Lombard,St,"dry rot repair around 6 windows, replace in kind window trim, mauldings and stucco.",issued,2023-09-05T11:11:12.000,2023-09-05T10:11:12.000,2023-09-05T11:11:12.000,4,4,8000,8000,apartments,17,apartments,17,0,R-2,R-2,5,wood frame (5),5,wood frame (5),3,2023-09-05T11:07:19.000,North Beach,94133,in-house,Point,-122.407825536,37.803271935,N,167751757949,,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,405,,,,,,
